 ,X,Y,Angle,Length
1,0.000603153,0.000485118,-81.573030979,0.000101206
2,0.001252037,0.000198373,-171.469234390,0.000074988
3,0.001007315,0.000201463,-169.919402012,0.000170689
4,0.000901640,0.000190339,10.873520395,0.000167496
5,0.001095687,0.000208261,-171.189267014,0.000188784
6,0.000928213,0.000244722,-170.022287380,0.000102816
7,0.001022765,0.000252756,-171.812197988,0.000131094
8,0.001245240,0.000200227,-171.202589290,0.000078841
9,0.001043159,0.000287363,-169.978894018,0.000235915
10,0.000930067,0.000331858,-171.792783588,0.000196118
11,0.001148834,0.000335566,-169.787865068,0.000257468
12,0.001010405,0.000394274,-173.618439467,0.000284856
13,0.000959731,0.000461635,5.414702071,0.000197392
14,0.001074058,0.000468433,7.148288395,0.000283918
15,0.001019675,0.000495006,5.832563745,0.000174026
16,0.000845403,0.000512927,175.426078740,0.000185988
17,0.001148216,0.000502422,8.130102354,0.000164829
18,0.001126587,0.000538265,-171.869897646,0.000118511
19,0.001023383,0.000587704,6.151843379,0.000156559
20,0.001069114,0.000631581,-171.170255332,0.000097540
21,0.000962203,0.000661862,-170.311213440,0.000038810
22,0.000825628,0.000656300,128.088772881,0.000044012
23,0.000989394,0.000657536,10.840305454,0.000089444
24,0.000997428,0.000159440,9.019322431,0.000060145
25,0.000988158,0.000168710,-172.971603761,0.000068527
