 ,X,Y,Angle,Length
1,0.000954169,0.000604389,-176.496468355,0.000091595
2,0.000825628,0.000599445,-23.523209020,0.000086341
3,0.001113609,0.000635289,8.746162263,0.000097540
4,0.001016585,0.000456691,8.945381834,0.000101395
5,0.000901640,0.000521579,0.548268236,0.000194063
6,0.001145126,0.000497478,5.906141114,0.000108103
7,0.000959113,0.000379443,-172.065636492,0.000269532
8,0.000893606,0.000305285,-168.826161758,0.000153678
9,0.000993102,0.000231744,10.022067773,0.000219662
10,0.001208779,0.000251520,10.304846469,0.000155874
11,0.001082710,0.000396128,7.523820439,0.000199451
12,0.000994338,0.000231744,10.500320318,0.000220107
13,0.000914618,0.000244722,10.057308915,0.000251167
14,0.000902876,0.000197755,9.462322208,0.000226763
15,0.000876921,0.000181688,7.733598099,0.000076040
16,0.001127822,0.000161912,10.527786120,0.000106902
17,0.000994338,0.000426410,6.894451076,0.000287599
18,0.001075912,0.000469051,5.194428908,0.000318914
