 ,X,Y,Angle,Length
1,0.001164284,0.000216295,180.000000000,0.000076630
2,0.001064788,0.000220003,178.585576789,0.000075435
3,0.001032035,0.000228654,178.264295411,0.000091495
4,0.001010405,0.000238542,179.220513679,0.000137215
5,0.000977034,0.000270677,-178.680054306,0.000201524
6,0.000867651,0.000264498,-179.211575738,0.000202714
7,0.001203835,0.000248430,176.088428187,0.000109018
8,0.001171699,0.000289835,178.237608976,0.000121182
9,0.001032653,0.000303431,-178.567903816,0.000260863
10,0.000998046,0.000320734,-178.602818973,0.000152070
11,0.000852201,0.000343600,-174.699073483,0.000271804
12,0.000983214,0.000366465,-175.418779915,0.000291401
13,0.001155014,0.000372027,-176.852885396,0.000271083
14,0.001083328,0.000396128,-175.038844195,0.000269232
15,0.001098159,0.000425174,-172.534809144,0.000135827
16,0.000956641,0.000472758,-172.600405340,0.000144566
17,0.001039451,0.000503040,-170.238225225,0.000175560
18,0.001163666,0.000540119,-167.529538278,0.000198545
19,0.001074058,0.000596355,-167.221266812,0.000185004
20,0.000813268,0.000644558,-170.445710328,0.000095298
21,0.000816976,0.000224329,-177.483124343,0.000084128
22,0.000855291,0.000245958,-177.552951358,0.000108878
23,0.000845403,0.000289217,-177.978635060,0.000079141
24,0.000697087,0.000420848,-174.400660663,0.000238465
25,0.000646412,0.000440005,-178.246595140,0.000091495
26,0.000414050,0.000536411,6.659747624,0.000497646
27,0.000692143,0.000496242,-170.622939306,0.000205428
28,0.000635289,0.000619221,-173.386539518,0.000129394
29,0.000730458,0.000588940,-173.659808254,0.000059648
30,0.000642704,0.000654446,-174.644174957,0.000119173
31,0.000595737,0.000727986,-176.423665625,0.000074323
32,0.000391184,0.000634671,173.088772881,0.000031121
33,0.000242250,0.000376971,-171.940896097,0.000212198
34,0.000245340,0.000589558,7.352379360,0.000058562
