 ,X,Y,Angle,Length
1,0.000650738,0.000249666,173.516926307,0.000041086
2,0.000626637,0.000260172,-176.905941941,0.000069314
3,0.000663716,0.000360285,-179.488444133,0.000103829
4,0.000705739,0.000407252,-174.143986415,0.000109333
5,0.000654446,0.000451129,-172.909385196,0.000384792
6,0.000622929,0.000448657,-173.494373354,0.000107010
7,0.000748380,0.000491298,-172.661393664,0.000123411
8,0.000734784,0.000559276,-167.837796480,0.000110064
9,0.000817594,0.000593266,-164.521361835,0.000062986
10,0.000686581,0.000601917,-172.763077974,0.000058562
11,0.000570400,0.000614277,-168.690067526,0.000089444
12,0.000532703,0.000572872,-169.122806877,0.000241672
13,0.000464725,0.000542591,-172.288107587,0.000089844
14,0.000384387,0.000713773,-171.607074813,0.000057509
15,0.000300341,0.000732312,-170.753887254,0.000040031
16,0.000242868,0.000709447,-171.253837737,0.000036182
17,0.000241014,0.000378825,-177.305715710,0.000079189
18,0.000371409,0.000337420,-175.582490648,0.000216986
19,0.000407252,0.000278093,-177.408133295,0.000226399
20,0.000076012,0.000338656,10.520784314,0.000066662
21,0.000092698,0.000388095,5.440332031,0.000156437
