 ,X,Y,Angle,Length
1,0.001029579,0.001197326,154.722277764,0.000072852
2,0.001084279,0.001193679,154.462565609,0.000182706
3,0.001151135,0.001123177,145.175510843,0.000050588
4,0.000918963,0.000990681,141.581944655,0.000067592
5,0.000818071,0.000993112,141.952957468,0.000052028
6,0.000634522,0.000821718,145.088169783,0.000213108
7,0.000779173,0.000883712,139.028263666,0.000093084
8,0.000745138,0.000994327,151.927513064,0.000030462
9,0.000865478,0.001097650,132.510447078,0.000029275
10,0.000816856,0.001057537,126.027373385,0.000024311
11,0.000853323,0.001070908,145.304846469,0.000029676
12,0.000645462,0.000725689,139.398705355,0.000034553
13,0.000481361,0.000752431,131.905941941,0.000094689
14,0.000522690,0.000630875,133.363422958,0.000091126
15,0.000322123,0.000483793,124.992020199,0.000022935
16,0.000244327,0.000436386,133.876697286,0.000130694
