 ,X,Y,Angle,Length
1,0.001675041,0.000177472,-84.093858886,0.000053705
2,0.001621556,0.000150729,-90.000000000,0.000024311
3,0.001622772,0.000080227,-84.559667969,0.000038974
4,0.001732172,0.000043760,-94.236394799,0.000048683
5,0.001679903,0.000351297,-95.194428908,0.000060972
6,0.001700567,0.000409643,-96.340191746,0.000066044
7,0.001715154,0.000557942,-96.340191746,0.000066044
8,0.001654376,0.000542139,-93.878524503,0.000107218
9,0.001704214,0.000672204,-104.470294100,0.000057787
10,0.001613047,0.000573744,-92.202598162,0.000048683
11,0.001693274,0.000698947,-107.175903616,0.000104566
12,0.001626418,0.000751216,-106.260204708,0.000090834
13,0.001605754,0.000673420,-93.012787504,0.000034122
14,0.001596029,0.000754862,-98.530765610,0.000037189
15,0.001730956,0.000282010,-90.000000000,0.000043760
