 ,Angle,Length
1,-172.874983651,0.000597882
2,-172.010673234,0.001073232
3,-173.858889383,0.002959109
4,-173.578939177,0.002909968
5,-171.702855030,0.000449220
6,-174.559667969,0.002358857
7,-172.906327072,0.002104853
8,-174.028434102,0.002237105
9,-177.563351753,0.000878322
10,-174.423141350,0.002769593
11,-175.004325758,0.002667691
12,-174.447028967,0.002024313
13,-174.763800179,0.003475603
14,-173.541183621,0.002475953
15,-173.829824905,0.003120181
16,-173.470464001,0.001554622
17,-174.924547622,0.002841145
