 ,X,Y,Angle,Length
1,0.001135238,0.000334330,-170.134193057,0.000021336
2,0.000896078,0.000364611,-174.948310656,0.000168745
3,0.000614895,0.000401690,-174.193273094,0.000386416
4,0.000205171,0.000444331,-173.453709217,0.000228895
5,0.001159340,0.000344836,-175.802331643,0.000101620
6,0.000085282,0.000475848,-174.053136946,0.000089537
7,0.000307756,0.000446185,7.236922026,0.000236700
8,0.000580906,0.000415286,5.230807176,0.000265650
9,0.001009169,0.000396746,-174.202479898,0.000488246
10,0.000329386,0.000457927,6.659207266,0.000185354
11,0.000825628,0.000405398,6.129519739,0.000810483
12,0.000148316,0.000485736,6.488115117,0.000238859
13,0.000098878,0.000511074,7.841703215,0.000157143
14,0.000732930,0.000433825,6.424185499,0.000489999
15,0.001064170,0.000439387,-173.955907838,0.000318163
16,0.000685963,0.000483264,-175.219837035,0.000267895
17,0.000288599,0.000514163,-174.975924741,0.000085604
18,0.000467815,0.000478938,-175.995827059,0.000092904
19,0.000104439,0.000550007,5.815626529,0.000100601
20,0.000431971,0.000523433,7.378535843,0.000130768
21,0.000640850,0.000517253,2.181641404,0.000097712
22,0.000863943,0.000477084,6.874818029,0.000263989
23,0.000836134,0.000496242,7.594643369,0.000140890
